BatName,Sex,Repro,InitialW,FinalW,FA,BodyCon,Night,AvSug,TotEat
Afir,M,NR,20,NA,42.5,NA,1,8,0.14
Afir,M,NR,20,NA,42.5,NA,2,21,5.86
Afir,M,NR,20,NA,42.5,NA,3,26,0.04
Albus,M,T,21,NA,42.9,NA,1,7,0.12
Albus,M,T,21,NA,42.9,NA,2,22,6.39
Albus,M,T,21,NA,42.9,NA,3,27,8.42
Alstweart,M,T,16,NA,42.6,NA,1,6,0.74
Alstweart,M,T,16,NA,42.6,NA,2,22,0.35
Alstweart,M,T,16,NA,42.6,NA,3,26,3.61
Basher,M,T,21.5,22,44.7,0.49,2,19.67,3.01
Basher,M,T,21.5,22,44.7,0.49,1,22.33,7.96
Basher,M,T,21.5,22,44.7,0.49,3,7.67,0.04
Blueberry,F,NR,19,18.5,45,0.41,2,20,1.94
Blueberry,F,NR,19,18.5,45,0.41,1,23,8.04
Blueberry,F,NR,19,18.5,45,0.41,3,7.67,0.07
Bontush,M,T,20.5,22,45.4,0.48,2,20,6.46
Bontush,M,T,20.5,22,45.4,0.48,1,19.67,9.81
Bontush,M,T,20.5,22,45.4,0.48,3,7.67,0
Canella,F,NR,19,17,42.4,0.4,3,15.33,3.2
Canella,F,NR,19,17,42.4,0.4,2,18.67,5
Canella,F,NR,19,17,42.4,0.4,1,26.67,0.2
Chica,F,NR,18,17,44.3,0.38,3,15.33,6.4
Chica,F,NR,18,17,44.3,0.38,2,18.67,3.3
Chica,F,NR,18,17,44.3,0.38,1,26.67,0.1
Cody,M,T,20,17,42.8,0.4,3,15.33,5
Cody,M,T,20,17,42.8,0.4,2,18.67,10.7
Cody,M,T,20,17,42.8,0.4,1,26.67,11.4
Contigo,M,T,18,18,43.5,0.41,3,15.33,5.1
Contigo,M,T,18,18,43.5,0.41,2,18.67,11.12
Contigo,M,T,18,18,43.5,0.41,1,26.67,8.8
Daisy,F,NR,20,18,42.6,0.42,3,14.33,1.5
Daisy,F,P,20,18,42.6,0.42,2,26,7.6
Daisy,F,P,20,18,42.6,0.42,1,21.67,7.4
Dede,F,NR,16,22.5,42.9,0.52,3,14.33,3.2
Dede,F,NR,16,22.5,42.9,0.52,2,26,13
Dede,F,NR,16,22.5,42.9,0.52,1,21.67,11.8
Dingo,F,NR,19.5,17,42,0.4,3,14.33,6.7
Dingo,F,NR,19.5,17,42,0.4,2,26,5.3
Dingo,F,NR,19.5,17,42,0.4,1,21.67,5
Dolly,F,NR,26,18.5,43.7,0.42,3,14.33,2.1
Dolly,F,NR,26,18.5,43.7,0.42,2,26,5.4
Dolly,F,P,26,18.5,43.7,0.42,1,21.67,6.8
Duberry,F,NR,18,18,42.6,0.42,3,14.33,5.2
Duberry,F,NR,18,18,42.6,0.42,2,26,8.3
Duberry,F,NR,18,18,42.6,0.42,1,21.67,7.3
Egg,F,NR,17,16,43,0.37,3,26.33,2.1
Egg,F,NR,17,16,43,0.37,2,21,4.5
Egg,F,NR,17,16,43,0.37,1,21.67,3.2
Eli,M,T,19.5,18,41.4,0.43,3,26.33,7.5
Eli,M,T,19.5,18,41.4,0.43,2,21,9.9
Eli,M,T,19.5,18,41.4,0.43,1,21.67,12.1
Ella,F,NR,17,16,44.5,0.36,3,26.33,2.3
Ella,F,NR,17,16,44.5,0.36,2,20.67,6.9
Ella,F,NR,17,16,44.5,0.36,1,21.67,8.7
Ernie,M,T,18,17.5,42.6,0.41,3,26.33,8.5
Ernie,M,T,18,17.5,42.6,0.41,2,21,12
Ernie,M,T,18,17.5,42.6,0.41,1,21.67,0.3
Esteban,M,T,20,18,42.5,0.42,3,26.33,6.6
Esteban,M,T,20,18,42.5,0.42,2,21.67,5.7
Ether,F,NR,18,14,42.1,0.33,3,26.33,4.5
Ether,F,NR,18,14,42.1,0.33,2,21,9.2
Ether,F,NR,18,14,42.1,0.33,1,21.67,4.5
Fera,F,NR,16,18,41.7,0.43,3,4.33,0.3
Fera,F,NR,16,18,41.7,0.43,2,22,1
Fera,F,NR,16,18,41.7,0.43,1,25.33,5.2
Figaro,M,T,17.5,18,41.2,0.44,3,4.33,0.1
Figaro,M,T,17.5,18,41.2,0.44,2,22,6.6
Figaro,M,T,17.5,18,41.2,0.44,1,25.33,6.4
Fjord,M,NR,18.5,20,41.5,0.48,3,4.33,0.2
Fjord,M,NR,18.5,20,41.5,0.48,2,22,5.4
Fjord,M,NR,18.5,20,41.5,0.48,1,25.33,6
Flop,M,NR,19.5,19,43.4,0.44,3,4.33,0.2
Flop,M,NR,19.5,19,43.4,0.44,2,22,5.4
Flop,M,NR,19.5,19,43.4,0.44,1,25.33,6.3
Flora,F,NR,18.5,14,42.5,0.33,3,4.33,0.4
Flora,F,NR,18.5,14,42.5,0.33,2,22,4.6
Flora,F,NR,18.5,14,42.5,0.33,1,25.33,0.7
